,Compay,Phone,href
0,RONA Uxbridge,,https://www.rona.ca/en/store/ontario/uxbridge/rona-uxbridge-33220?cm_mmc=organic_search-_-yext-_-gmb-_-website&utm_medium=organic_search&utm_source=yext&utm_campaign=gmb&utm_content=website&y_source=1_MzkxNzQwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
1,City Electric Supply Whitby,(905) 721-1500,http://www.cityelectricsupply.ca/
2,Westburne,(905) 576-7100,https://www.westburne.ca/cwr/Oshawa/store/d-WG
3,"Guillevin International Co,",(905) 723-2291,http://www.guillevin.com/
4,"Nedco - Oshawa, ON",(905) 721-8400,https://www.nedco.ca/cnd/Oshawa/store/h-WR
5,SESCO,(905) 428-2446,https://www.sesco.ca/?utm_source=google&utm_medium=local&utm_campaign=google-local
6,Robertson Electric Wholesale,(905) 443-2504,http://www.robertson-electric.com/
7,Lakeridge Electrical Services,(905) 550-1595,
8,Oscan Electrical Supplies Ltd.,(905) 728-3800,http://www.oscan.ca/
9,City Electric Supply Pickering,(905) 839-5161,http://www.cityelectricsupply.ca/
10,Hudco Electric Supply Ltd,(905) 837-0884,https://www.hudco.ca/
11,City Electric Supply Burlington,(905) 634-7000,http://www.cityelectricsupply.ca/
12,"Nedco - Burlington, ON",(905) 632-3088,https://www.nedco.ca/cnd/Burlington/store/*-WR
13,Gerrie Electric Burlington,(905) 681-3660,http://www.gerrie.com/
14,Westburne,(905) 681-7110,https://www.westburne.ca/cwr/Burlington/store/j-WG
15,Aztec Electrical Supply,(905) 637-4227,http://aztecsupply.com/
16,Gerrie Electric Distribution Centre,,http://www.gerrie.com/
17,Province Electric Supply,(905) 634-2000,https://www.province-electric.com/
18,Sayal Electronics,(905) 333-3319,https://secure.sayal.com/STORE2/
19,Gerrie Electric Georgetown,(905) 877-2264,http://www.gerrie.com/
20,Gerrie Electric Milton,(905) 878-8406,https://www.gerrie.com/
21,Primary Electrical Supply,(905) 878-1695,http://www.primaryelectrical.com/
22,Dion Electrical supply store,,
23,"Nedco - Milton, ON",(905) 876-3757,https://www.nedco.ca/cnd/Milton/store/m-WR
24,Gerrie Electric Milton,(905) 878-8406,https://www.gerrie.com/
25,Primary Electrical Supply,(905) 878-1695,http://www.primaryelectrical.com/
26,MARS Lighting & Electrical Supplies Distribution (MarsLED),(905) 878-9997,http://shopmarsled.com/
27,NLYTN,(905) 636-6001,http://www.nlytn.com/
28,"Nedco - Oakville, ON",(905) 827-4421,https://www.nedco.ca/cnd/Oakville/store/%26-WR
29,Gerrie Electric Oakville,(905) 845-2891,http://www.gerrie.com/
30,Atlas Electrical Supply,(289) 386-3601,https://atlaselectricalsupply.com/
31,Beverly Maryoung Electrical Store,,
32,Robertson Electric Wholesale,(905) 465-2066,http://robertson-electric.com/
33,Westoak Electric Ltd.,(416) 720-3511,http://westoakelectric.com/
34,Baldor Electric Company,(905) 829-3301,http://www.baldor.com/
35,Wired Electrical Inc,(416) 804-7528,http://www.wired-electrical.ca/
36,Torbram Electric Supply,,https://www.cityelectricsupply.ca/
37,Westburne,(905) 608-1010,https://www.westburne.ca/cwr/Mississauga/store/u-WG
38,City Electric Supply Burlington,(905) 634-7000,http://www.cityelectricsupply.ca/
39,Aztec Electrical Supply,(905) 637-4227,http://aztecsupply.com/
40,Gerrie Electric Distribution Centre,,http://www.gerrie.com/
41,"Nedco - Mississauga, ON",(905) 568-5021,https://www.nedco.ca/cnd/Mississauga/store/P-WR
42,EV Breakers and Electric Supply,(647) 642-6443,http://evbreakers.ca/
43,Cawthra Electrical Supplies,(905) 804-8181,
44,Alco Electrical Sales Ltd,(905) 796-3336,http://www.alcoelectricalsales.com/
45,Dorval Electric,(905) 845-4341,https://dorvalelectric.ca/
46,InStep Activewear,(905) 844-4415,https://www.instepactivewear.com/
47,City Electric Supply Brampton,(905) 452-7752,http://www.cityelectricsupply.ca/
48,"Nedco - Brampton, ON",(905) 450-0310,https://www.nedco.ca/cnd/Brampton/store/N-WR
49,Airwill Electrical Supply Inc,(905) 458-7027,http://www.airwill.com/
50,Harwell Electric Supply Co Ltd,(905) 456-2622,http://www.harwellelectric.com/
51,Impact Components,(905) 874-8823,
52,Alliance Electrical Supply,(905) 793-1700,https://www.allianceaes.com/
53,Alco Electrical Sales Ltd,(905) 796-3336,http://www.alcoelectricalsales.com/
54,Sonepar Canada,(905) 789-2389,https://soneparcanada.com/
55,Brampton Plumbing & Electrical Supply store,,http://bramptonpe.ca/
56,Luminez LED & Electrical Supplies,(647) 855-7714,
57,Modular Power Systems Inc,(905) 451-5500,
58,City Electric Supply Mississauga,(905) 671-0800,http://www.cityelectricsupply.ca/
59,Ampower Electrical Contrs,(416) 876-9371,
60,Heritage Electrical Supply,(905) 874-3330,
61,NLYTN,(905) 796-5986,http://www.nlytn.com/
62,Bramtor Electric Supply Co Ltd,(905) 792-1111,http://www.gerrie.com/
63,OHM LED ELECTRIC MAIN STORE,(905) 795-0532,http://www.ohmledelectric.com/
64,House of Electrical Supplies Limited,(905) 670-5656,http://www.houseofelectrical.com/
65,BRISTOL ELECTRIC SUPPLY,(905) 565-0612,https://www.bristolelectric.ca/
66,"Nedco - Mississauga, ON",(905) 568-5021,https://www.nedco.ca/cnd/Mississauga/store/P-WR
67,Pro Desk at Lowe's,(905) 874-5028,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjll-W9k6_8AhXCJ0wKHQWOBMgYABAAGgJvYQ&ohost=www.google.com&cid=CAASEuRoco56qei2tmrFpjQfCLhvyw&sig=AOD64_1nZV10v9chN1qXIbLUEWfoL5Y6Ag&q=&ctype=99&ved=2ahUKEwj2v9y9k6_8AhVnmWoFHWMcAfQ4FBCErAF6BAgBEBY&adurl=
68,Rev-Amp Electrical Equipment Ltd.,,http://www.revampelectrical.com/
69,Mississauga Electrical Supply Company,(905) 896-4500,http://www.misselec.ca/
70,City Electric Supply Maingate,(905) 629-9912,http://www.cityelectricsupply.ca/
71,Primary Electrical Supply,(905) 878-1695,http://www.primaryelectrical.com/
72,City Electric Supply,(416) 744-6888,http://www.torbramelectric.com/
73,Hudco Electric Supply Ltd,(905) 362-2002,http://www.hudco.ca/
74,City Electric Supply Corporation,,http://www.cityelectricsupply.ca/
75,Jay Electric Limited,,
76,Relay Electrical Supply Inc,,http://www.relayelectrical.ca/
77,BHS HVAC PLUMBING & HARDWARE SUPPLIES,(905) 790-7888,https://www.bhssupplies.com/
78,Renum Hydraulics Ltd,(905) 457-6754,http://www.renumhydraulics.com/
79,Bathroom Renovations Brampton,,https://www.bathroomrenovationsbrampton.com/
80,Bolton Electrical & Lighting Supply,(905) 857-4445,https://boltonelectricalsupply.com/
81,City Electric Supply Orangeville,(519) 938-8041,http://www.cityelectricsupply.ca/
82,Gerrie Electric Bolton,(905) 857-9288,http://www.gerrie.com/
83,"Nedco - Brampton, ON",(905) 450-0310,https://www.nedco.ca/cnd/Brampton/store/N-WR
84,Harwell Electric Supply Co Ltd,(905) 456-2622,http://www.harwellelectric.com/
85,Mississauga Electrical Supply Company,(905) 896-4500,http://www.misselec.ca/
86,"Nedco - Mississauga, ON",(905) 568-5021,https://www.nedco.ca/cnd/Mississauga/store/P-WR
87,Gerrie Electric Mississauga,(905) 625-3118,http://www.gerrie.com/
88,Westburne,(905) 608-1010,https://www.westburne.ca/cwr/Mississauga/store/u-WG
89,City Electric Supply Erindale,(905) 276-6700,http://www.cityelectricsupply.ca/
90,City Electric Supply Mississauga,(905) 671-0800,http://www.cityelectricsupply.ca/
91,Airwill Electrical Supply,(905) 366-0231,http://www.airwill.com/
92,RS Electrical Supplies,(905) 501-1510,https://rsbreakers.com/
93,Cawthra Electrical Supplies,(905) 804-8181,
94,House of Electrical Supplies Limited,(905) 670-5656,http://www.houseofelectrical.com/
95,Westburne,(905) 670-2800,https://www.westburne.ca/
96,POLANI ELECTRICAL SUPPLY,(905) 219-0091,https://polanielectricalsupply.business.site/?utm_source=gmb&utm_medium=referral
97,Light It Up Electric Supply,(905) 405-0008,http://www.lightitupelectric.ca/
98,City Electric Supply (formerly Torbram),(905) 276-6700,http://www.torbramelectric.com/
99,Graybar Canada,(905) 507-0533,https://www.graybarcanada.com/Mississauga-Express
100,Green & Red Electrical Co.,,
101,Powertrade Electric Ltd,(905) 238-8277,
102,ECS Electrical Cable Supply Ltd.,(905) 607-3232,http://www.ecswire.com/
103,Rev-Amp Electrical Equipment Ltd.,,http://www.revampelectrical.com/
104,City Electric Supply Maingate,(905) 629-9912,http://www.cityelectricsupply.ca/
105,Aurora Lighting o/a Bulbspro.com,(905) 489-1197,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwizic7ck6_8AhUHKUwKHZzQABcYABAAGgJvYQ&ohost=www.google.com&cid=CAASEuRo6nCBj4b6xoBHLBcXiBIq0w&sig=AOD64_2Hrf3-mrd2633k6su4VxfMf-FdqQ&q=&ctype=99&ved=2ahUKEwi5nsXck6_8AhXJmGoFHTcLAio4FBCErAF6BAgDEBc&adurl=
106,OHM LED ELECTRIC MAIN STORE,(905) 795-0532,http://www.ohmledelectric.com/
107,Estate Lighting Supply Limited,(905) 282-0100,https://estatelighting.ca/
108,Aztec Electrical Supply,(905) 282-0370,http://www.aztecsupply.com/
109,Eros LED Lighting Inc.,(905) 226-8723,
110,RS Breakers and Controls,(905) 501-1510,http://rsbreakers.com/
111,BRISTOL ELECTRIC SUPPLY,(905) 565-0612,https://www.bristolelectric.ca/
112,Wired Electrical Supplies Corp.,(437) 267-9372,http://www.wiredesc.ca/
113,Tesla Lighting,(905) 848-0958,http://www.teslalighting.ca/
114,North American Lighting Products Inc,(905) 238-0767,http://www.nalp.com/
115,Low & High Power Group Inc.,(905) 820-1781,http://www.powergroupinc.ca/
116,Alliance Electrical Supply,(905) 793-1700,https://www.allianceaes.com/
117,Impact Electrical Mechanical,(905) 219-0008,http://www.impacteml.com/
118,RMS Instruments Limited,(905) 677-5533,http://www.rmsinst.com/
119,Baldor Electric Company,(905) 829-3301,http://www.baldor.com/
120,Harwell Electric Supply Co Ltd,(905) 456-2622,http://www.harwellelectric.com/
121,"Nedco - Etobicoke, ON",(416) 252-5638,https://www.nedco.ca/cnd/Etobicoke/store/M-WR
122,Noramco Wire & Cable Co Ltd,(905) 673-3570,http://www.noramco.ca/
123,Light52.com LED Electrical Suppliers Wholesale Retail,(905) 334-5052,http://light52.com/
124,Hudco Electric Supply Ltd,(905) 362-2002,http://www.hudco.ca/
125,City Electric Supply,(416) 744-6888,http://www.torbramelectric.com/
126,HOUSEHOLD ELECTRONIC SUPPLY INC,(905) 607-9902,http://householdelectronicsupply.com/
127,Sayal Electronics,(905) 238-8640,https://secure.sayal.com/STORE2/
128,Electricians in Mississauga,(647) 832-3800,https://electriciansnorthyork.com/
129,Atlas Electrical Supply,(289) 386-3601,https://atlaselectricalsupply.com/
130,"Nedco - Milton, ON",(905) 876-3757,https://www.nedco.ca/cnd/Milton/store/m-WR
131,Green Leaf Electrical | Electrical Supply,,
132,Primary Electrical Supply,(905) 878-1695,http://www.primaryelectrical.com/
133,Wilkes Electrical Supply,,
134,JLA ELECTRIC SUPPLY,(905) 501-1112,
135,Optimum Electric Supply,,
136,Beverly Maryoung Electrical Store,,
137,Electrical Supply and Services,(647) 685-4164,
138,Torbram Electric Supply,,https://www.cityelectricsupply.ca/
139,EV Breakers and Electric Supply,(647) 642-6443,http://evbreakers.ca/
140,Gerrie Electric Distribution Centre,,http://www.gerrie.com/
141,Aurora Lighting o/a Bulbspro.com,(905) 489-1197,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi3jJPvk6_8AhU3FdQBHRp6DBkYABAAGgJvYQ&ohost=www.google.com&cid=CAASEuRo01FgDXxfvumj9kgCY1DPpA&sig=AOD64_3tdD3iuPIzGTsw1WTHky31-rCDhA&q=&ctype=99&ved=2ahUKEwiEn4rvk6_8AhUwkGoFHcAqA_cQhKwBegQIBBAX&adurl=
142,Aurora Electric Supply Corporation,(905) 503-3532,http://www.auroraelectricsupply.ca/
143,City Electric Supply Newmarket,(905) 953-9960,http://www.cityelectricsupply.ca/
144,"Nedco - Newmarket, ON",(905) 836-0900,https://www.nedco.ca/cnd/Newmarket/store/K-WR
145,Westburne,(905) 895-8625,https://www.westburne.ca/cwr/Newmarket/store/W-WG
146,Aurora Lighting o/a Bulbspro.com,(905) 489-1197,http://www.bulbspro.com/
147,City Electric Supply Newmarket,(905) 953-9960,http://www.cityelectricsupply.ca/
148,"Nedco - Newmarket, ON",(905) 836-0900,https://www.nedco.ca/cnd/Newmarket/store/K-WR
149,Westburne,(905) 895-8625,https://www.westburne.ca/cwr/Newmarket/store/W-WG
150,Ajax Lighting Newmarket,(905) 235-1555,http://www.ajaxlighting.ca/
151,Aurora Electric Supply Corporation,(905) 503-3532,http://www.auroraelectricsupply.ca/
152,City Electric Supply Newmarket,(905) 953-9960,http://www.cityelectricsupply.ca/
153,Jersey Public School,(905) 476-7777,http://www.yrdsb.ca/schools/jersey.ps/Pages/default.aspx
154,Learning Curves - Training Site (Keswick),,http://learningcurves.ca/
155,MV Electric,(416) 561-7448,http://mvelectric.ca/
156,Eco-Power Electrical Company Limited,,http://www.ecopowerelectric.ca/
157,PDI National Salvage,(437) 288-9507,http://pdinationalsalvage.com/
158,Hall Tree Spading a Division of Beech Nursery Group,(905) 727-1996,http://www.halltreespading.com/
159,Apollo Health and Beauty Care,(416) 758-3700,http://www.apollocorp.com/index.html
160,Aurora Lighting o/a Bulbspro.com,(905) 489-1197,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj3-suclK_8AhXKFtQBHYvCC58YABAAGgJvYQ&ohost=www.google.com&cid=CAASEuRorBIO2ru2CfBTGo5W8frBmA&sig=AOD64_2SN4f4YbclUhIwTwvLIuVzQzh2lw&q=&ctype=99&ved=2ahUKEwiGpsSclK_8AhV2lGoFHaItBnwQhKwBegQIBBAX&adurl=
161,"Nedco - Markham, ON",(905) 475-7602,https://www.nedco.ca/cnd/Markham/store/I-WR
162,City Electric Supply Markham,(905) 948-0441,http://www.cityelectricsupply.ca/
163,Vanco Electrical Supplies Ltd,(905) 305-7702,http://www.vancoelectrical.com/
164,SESCO,(905) 752-0500,https://www.sesco.ca/?utm_source=google&utm_medium=local&utm_campaign=google-local
165,House of Electrical Supplies Limited,(905) 752-2323,http://www.houseofelectrical.com/
166,Consavvy Inc.,(905) 604-8775,http://www.consavvy.com/
167,Supreme Lighting & Electrical Supply Ltd.,(905) 477-3113,http://supremelighting.ca/
168,AXIS Electric Supply,(905) 764-2947,http://www.axiselectricsupply.com/
169,City Electric Supply Scarborough North,(416) 332-0112,http://www.cityelectricsupply.ca/
170,Aurora Lighting o/a Bulbspro.com,(905) 489-1197,http://www.bulbspro.com/
171,Airwill Electrical Supply Inc,(416) 297-9455,http://www.airwill.com/
