,Compay,href
0,"JMC Electric Ltd.
5.0
(85) · Electrician
Brampton, ON
Closed ⋅ Opens 8 a.m. Mon · (905) 451-1830",https://www.google.com/aclk?sa=l&ai=DChcSEwjkrdiKst77AhWIzcgKHdroDGYYABAAGgJxdQ&sig=AOD64_3zh3mpY3LVHvapynE-hJTZSkuRrw&q=&ctype=99&ved=2ahUKEwj889GKst77AhWEmXIEHUQbB-YQhKwBegQIGRAV&adurl=
1,"BigGuy Electric Inc.
4.9
(89) · Electrician
brampton, ON
Open 24 hours · (905) 867-8017",https://www.google.com/aclk?sa=l&ai=DChcSEwjkrdiKst77AhWIzcgKHdroDGYYABAHGgJxdQ&sig=AOD64_0_bB9W_roDa0M6ehS8tCzjFhO5fw&q=&ctype=99&ved=2ahUKEwj889GKst77AhWEmXIEHUQbB-YQhKwBegQIGRAt&adurl=
2,"Safe Electrical Solutions - Residential Electrician, Emergency Electrical Service
4.7
(101) · Electrician
7+ years in business · Toronto, ON
Open 24 hours · (416) 236-7100
""Prompt and professional; would call on them again and would also ...""",https://safeelectricalsolutions.com/
3,"Ontime Electric - Electricians Toronto
4.1
(26) · Electrician
Toronto, ON
Open 24 hours · (416) 882-6000
Onsite services·
Online estimates",http://ontime-electric.ca/
4,"AC Electrical - Your Home Electricians
4.9
(217) · Electrician
30+ years in business · Scarborough, ON
Closed ⋅ Opens 7:30 a.m. Mon · (416) 698-8100
""Great job... on-time, professional, and on-budget.""",https://acelectrical.ca/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=Scarborough
5,"Langstaff & Sloan Inc | Electrical Contractors | Commercial Electrical Services | Toronto, Ontario
4.9
(34) · Electrician
30+ years in business · Etobicoke, ON
Closed ⋅ Opens 8 a.m. Mon · (416) 503-2033
""Very professional, friendly, and COVID health conscience.""",https://langstaffandsloan.com/?utm_source=GMBlisting&utm_medium=organic
6,"3e Electrical - Awarded Best-In-Service
5.0
(40) · Electrician
7+ years in business · Toronto, ON
Closed ⋅ Opens 9 a.m. Mon · (647) 560-7995
Onsite services·
Online estimates",https://3eelectrical.ca/
7,"Toronto Wiring
4.7
(75) · Electrician
15+ years in business · Etobicoke, ON
Open ⋅ Closes 8 p.m. · (647) 847-6252
Online estimates·
Onsite services not available",http://torontowiring.com/
8,"Crawford Electrical Contracting Inc.
4.9
(32) · Electrician
10+ years in business · Toronto, ON
Closed ⋅ Opens 8 a.m. Mon · (416) 910-1169
""On time, on estimate and beautifully done!""",http://www.crawfordelectrical.ca/
9,"Croatian Electric
4.1
(43) · Electrician
75+ years in business · Toronto, ON
Open 24 hours · (416) 520-0157
""I would definitely recommend them for any electrical related need you may have!""",http://www.croatianelectrictoronto.com/
10,"Steinmetz Electric
5.0
(24) · Electrician
5+ years in business · Toronto, ON
Closed ⋅ Opens 8 a.m. Mon · (416) 303-8641
""The work was done on time and on budget and the results are excellent.""",https://www.steinmetzelectric.com/
11,"Kronos Electrical Contractors Ltd.
4.7
(62) · Electrical installation service
15+ years in business · East York, ON
Open 24 hours · (416) 579-1707
Provides: Emergency Electrician Services",https://kronoselectrical.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
12,"Yali Electric Ltd
4.9
(52) · Electrician
Open ⋅ Closes 9 p.m. · (416) 827-0593
""Kay has been the best electrician I have ever met.""",
13,"Alkon Electric Inc
5.0
(109) · Electrician
7+ years in business · Scarborough, ON
Closed ⋅ Opens 8 a.m. Sun · (416) 882-0852
""Very competitive and friendly service.""",http://www.alkonelectric.com/
14,"AC DC Electricians
4.9
(59) · Electrician
Toronto, ON
Open ⋅ Closes 6 p.m. · (647) 739-5353
Onsite services·
Online estimates",http://www.acdcelectricians.ca/
15,"Eplus Wiring and Electrical Ltd.
5.0
(22) · Electrician
3+ years in business · Toronto, ON
(416) 854-0108
""Thanks for getting work done in a timely fashion, neatly completed.""",https://www.epluswiringandelectrical.com/
16,"High Park Electrical
5.0
(18) · Electrician
10+ years in business
Open 24 hours · (416) 799-2335
""good team, reliable, honest job well done...""",https://www.highparkelectrical.ca/
17,"Electric Matter Corp
4.9
(48) · Electrician
7+ years in business
Closed ⋅ Opens 9 a.m. Mon · (416) 879-3965
""It's great to see an electrician who is honest.""",
18,"Astron Electric - Licensed Electrician & Electrical Contractors Toronto
3.9
(23) · Electrician
50+ years in business · East York, ON
Closes soon ⋅ 4:30 p.m. · (416) 422-3865
Onsite services not available",https://astronelectric.com/
19,"AED Electric
5.0
(10) · Electrician
Toronto, ON
(416) 912-0032
Online estimates",http://www.aedelectric.com/
20,"Rethink Electric
4.8
(25) · Electrician
Toronto, ON
Closes soon ⋅ 5 p.m. · (416) 573-1001
""Professional electricians that came on time and did quality work.""",http://rethinkelectric.ca/
21,"CSG Toronto Electrician - Electrical Supply Stores
4.8
(16) · Electrician
Closed ⋅ Opens 7:30 a.m. Mon · (647) 997-0704
""Excellent place for residential electrician Great service, great selection""",https://csgelectric.ca/
