,Company,Phone,Web
0,Spotlight Electric Ltd,9055794733,http://www.spotlightelectric.ca/
1,COZZY ELECTRIC INC.,7057861824,http://cozzyelectric.ca/
2,Scugog Electric,9054098278,http://scugogelectric.ca/
3,Port Electric,9052608831,http://portelectriccontractors.com/
4,Progressive Electric & Plumbing,9059858950,https://pepelectric.plumbing/
5,B & R Electric,9059858667,
6,BAM Electrical Contracting,9059140936,https://bamelectric.ca/
7,Oak Ridge Electric Inc.,2892005617,
8,Emmons Electric Inc.,2893145152,http://www.emmonselectric.com/
9,Chris Duff Electric & Plumbing,9059860845,
10,Gord's Electric,9054418490,http://gordselectric.ca/
11,Fuzion Electric Inc.,,http://fuzionelectric.ca/
12,Lit Electrical Contractors Inc.,4165792947,http://www.litelectrical.com/
13,Claremont Electric Services Inc.,4166609897,
14,Independent High Voltage Ltd.,9059851533,
15,Leslie & Palmer Electrical Contractor,6472712235,http://www.leslieandpalmer.com/
16,Powersource Electric Inc.,2898927074,https://www.powersourceelectric.ca/
17,AlphaMega Electric Ltd.,9052445046,http://alpha-mega.ca/
18,Doyle's Electric,9054491399,https://www.doyles.company/
19,Canon Electric,9059265535,http://canonelectric.ca/
21,UNIBOLT ELECTRIC INC.,9055918658,http://www.unibolt.ca/
22,Trotter Electrical,2893561061,
24,Penn & McGuire Electric Ltd.,9058622220,
25,Green Planet Electric,4165618384,
26,Barrett Electric Inc.,9054318020,http://www.barrettelectric.ca/
28,Langmaid Electric Contracting,7053249843,https://www.langmaidelectric.com/
29,Meek Electric,4169890047,http://www.meekelectric.ca/
30,Safe and Sound Connections,9052441325,https://safeandsoundconnections.com/
31,EverReady Electrical,6475602463,http://www.whitbyonelectrician.ca/
33,OKANA Electrical,4163881003,https://www.okanapro.ca/
35,North Electrik Inc | 24/7 Whitby Electrician,6477094959,https://northelectrik.com/
36,Fitzpatrick Electrical Contractor Inc.,9056861661,http://www.fitze.ca/
37,Brite Electrical Solutions,9052404703,http://www.briteelectricalsolutions.com/
38,Browns Electrical and Consulting,9054494884,https://brownselectricalco.wixsite.com/brownselectrical
39,SAV Electric Inc,4167057806,http://www.savelectric.ca/
40,Service First Electric,9054417118,http://www.servicefirstelectric.ca/
42,Hanika Electric Inc.,6478923055,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjc062U-d37AhW2_OMHHaVsAIAYABAIGgJ5bQ&ohost=www.google.com&cid=CAASE-Ro33e51kMsDPcmYZt3Fo_nRb4&sig=AOD64_2tgRCI7FnClJWSk0Fj-ZM1o92G-A&q=&ctype=99&ved=2ahUKEwi3iqaU-d37AhV6jIkEHU1qAh04KBCErAF6BAgBECs&adurl=
43,Curt Brown Electric Inc.,9054311912,http://www.curtbrownelectric.com/
45,Eco Electrical HVAC.,4168951094,https://ecoelectricalhvac.business.site/
46,Bird Electric,9054100532,http://www.birdelectric.ca/
47,InnoWave Electric Inc.,9054094949,http://www.innowaveinc.com/
48,MB Electrical Group,2893143607,https://www.mbelectricalgroup.ca/
49,Energy Rich Electric,6473213674,http://energyrichelectric.ca/
50,Durham Electrical Contractors,9054269422,
51,Top Electrical Inc.,6475005616,http://www.topelectrical.ca/
53,Falstaff Electrical Services Ltd,9056427020,https://falstaffelectric.ca/
54,PDS Power,7053289426,
56,Captain Electric,9056834195,https://captainelectric.ca/?utm_source=google&utm_medium=organic&utm_campaign=local
57,Electric Electric Ltd,7058785878,https://www.electricelectricltd.com/
58,Orbit Electrical,9055712977,https://orbit-electrical.business.site/
59,FM Electrical Service,6475611583,https://fmelectricalservice.com/
60,Jng Electric Inc.,9052427254,http://www.jngelectric.ca/
61,Rothman Industrial Inc,9056974330,
64,Penfold Electric LTD,4166391796,https://penfoldelectric.com/
65,James Electric,9055794543,
66,ACCL Electrical,4167598567,http://www.acclelectrical.ca/
67,Tradescope Electrical,9052447982,http://tradescopeelectrical.com/
68,Vickery Technical Services Electrical Contracting Ltd.,9056650038,
69,Carlos Electric Limited,9057287361,
72,Try-Umph Electric Inc.,6478798674,http://www.tryumphelectric.com/
74,Able Electric,9055790888,
76,Space Age Electric,9054366744,https://spaceageelectric.business.site/
77,Renewal Electrical Contracting,6472084928,http://renewalec.com/
78,Elcon Electric Ltd,9055710483,
79,TMK Electrical and Contracting Services,9054398529,https://www.tmkelectrical.ca/
81,pot lights installation,6479579735,https://potlightsinstallation.com/
83,Jayco Electrical,6474002823,http://jaycoelectrical.com/
86,Advantage Electrical Solutions Inc.,9056192374,
87,Female Electrician/General Contractor in the Durham Region ECRA/ESA Lic 7014027,6476094700,
88,Flagship Electric,9057062942,
91,Oshawa Electrical Services,3658006859,
94,J.C. Electrical Inc,9057069355,http://www.jcelectrical.ca/
96,Brooklin Electric Limited,9056650002,http://www.brooklinelectric.com/
97,JK Lighting Solutions - Pot Lights Installation,4377474782,https://jklightingsolutions.com/
99,Aline Utility,7053207563,
101,Power Blitz Electrical,18556080178,https://www.powerblitz.ca/?utm_source=gmb&utm_medium=website
103,Randy Perry Electric Ltd.,9055570072,http://www.randyperryelectric.com/
105,Superior Solutions Contracting,2896771945,https://oshawageneralcontracting.ca/
108,Ampfinity Electrical Services,4168412653,http://www.ampfinity.ca/
110,Windcrest Electrical,4165270878,
113,Essential Integrity Electric,6478329536,
114,A.S. Electrical Services Ltd.,4167378593,https://aselectrical.ca/
115,Envirotech Insulation Inc,2892746600,http://www.envirotechinsulation.ca/
117,Varg inc. Electrical Contractor,4168059418,https://www.vargelectric.com/
120,Eplus Wiring and Electrical Ltd.,4168540108,https://www.epluswiringandelectrical.com/
121,Solutions Electrical,4167660466,https://solutionselectrical.ca/
123,Electricians in North York,6478323800,https://electriciansnorthyork.com/
124,Vivid Electric Inc,6474094094,https://vividelectric.ca/
125,Influx Electric,4162524470,http://www.influxelectric.com/
